Unique answer tag from the quiz combination,products to be display in result page
"bone,omega3","Elixir,Pulse"
"bone,gut,omega3","Elixir,Pulse,Core"
"bone,omega3,sleep","Noxis,Elixir,Pulse"
"bone,gut,omega3,sleep","Noxis,Elixir,Pulse,Core"
"bone,omega3,skin","Lumen,Elixir,Pulse"
"bone,gut,omega3,skin","Lumen,Elixir,Pulse,Core"
"bone,omega3,skin,sleep","Velora,Elixir,Pulse"
"bone,gut,omega3,skin,sleep","Velora,Elixir,Pulse,Core"
"bone,metabolism booster,omega3","Elixir,Ignite,Pulse"
"bone,gut,metabolism booster,omega3","Elixir,Ignite,Pulse,Core"
"bone,metabolism booster,omega3,sleep","Noxis,Elixir,Ignite,Pulse"
"bone,gut,metabolism booster,omega3,sleep","Noxis,Elixir,Ignite,Pulse,Core"
"bone,metabolism booster,omega3,skin","Lumen,Elixir,Ignite,Pulse"
"bone,gut,metabolism booster,omega3,skin","Lumen,Elixir,Ignite,Pulse,Core"
"bone,metabolism booster,omega3,skin,sleep","Velora,Elixir,Ignite,Pulse"
"bone,gut,metabolism booster,omega3,skin,sleep","Velora,Elixir,Ignite,Pulse,Core"
"bone,energy,metabolism booster,mood,omega3,stress","Zest,Elixir,Ignite,Pulse"
"bone,energy,gut,metabolism booster,mood,omega3,stress","Zest,Elixir,Ignite,Pulse,Core"
"bone,energy,metabolism booster,mood,omega3,sleep,stress","Noxis,Elixir,Ignite,Pulse"
"bone,energy,gut,metabolism booster,mood,omega3,sleep,stress","Noxis,Elixir,Ignite,Pulse,Core"
"bone,energy,metabolism booster,mood,omega3,skin,stress","Lumen,Elixir,Ignite,Pulse"
"bone,energy,gut,metabolism booster,mood,omega3,skin,stress","Lumen,Elixir,Ignite,Pulse,Core"
"bone,energy,metabolism booster,mood,omega3,skin,sleep,stress","Zenith,Elixir,Ignite,Pulse"
"bone,energy,gut,metabolism booster,mood,omega3,skin,sleep,stress","Zenith,Elixir,Ignite,Pulse,Core"
"bone,energy,mood,omega3,stress","Zest,Elixir,Pulse"
"bone,energy,gut,mood,omega3,stress","Zest,Elixir,Pulse,Core"
"bone,energy,mood,omega3,sleep,stress","Noxis,Elixir,Pulse"
"bone,energy,gut,mood,omega3,sleep,stress","Noxis,Elixir,Pulse,Core"
"bone,energy,mood,omega3,skin,stress","Lumen,Elixir,Pulse"
"bone,energy,gut,mood,omega3,skin,stress","Lumen,Elixir,Pulse,Core"
"bone,energy,mood,omega3,skin,sleep,stress","Zenith,Elixir,Pulse"
"bone,energy,gut,mood,omega3,skin,sleep,stress","Zenith,Elixir,Pulse,Core"
